"Altitude [m]","Temperature [Kelvin]","Pressure [pascal]","Density [kg/m3]","Speed of sound [m/s]","Viscosity [Pa.s]"
57700,251.89,27.8637,0.000385359,318.164,0.0000162542
57750,251.75,27.6753,0.000382967,318.075,0.0000162468
57800,251.61,27.4881,0.000380588,317.987,0.0000162393
57850,251.47,27.3021,0.000378222,317.898,0.0000162319
57900,251.33,27.1172,0.000375871,317.81,0.0000162245
57950,251.19,26.9335,0.000373532,317.721,0.000016217
58000,251.05,26.7509,0.000371207,317.633,0.0000162096
58050,250.91,26.5694,0.000368895,317.544,0.0000162021
58100,250.77,26.3891,0.000366596,317.455,0.0000161947
58150,250.63,26.2099,0.00036431,317.367,0.0000161872
58200,250.49,26.0318,0.000362037,317.278,0.0000161798
58250,250.35,25.8549,0.000359777,317.19,0.0000161723
58300,250.21,25.679,0.000357529,317.101,0.0000161649
58350,250.07,25.5043,0.000355295,317.012,0.0000161574
58400,249.93,25.3306,0.000353073,316.923,0.00001615
58450,249.79,25.158,0.000350864,316.835,0.0000161425
58500,249.65,24.9865,0.000348668,316.746,0.000016135
58550,249.51,24.8161,0.000346484,316.657,0.0000161276
58600,249.37,24.6467,0.000344313,316.568,0.0000161201
58650,249.23,24.4784,0.000342154,316.479,0.0000161127
58700,249.09,24.3112,0.000340007,316.39,0.0000161052
58750,248.95,24.145,0.000337873,316.301,0.0000160977
58800,248.81,23.9798,0.00033575,316.212,0.0000160902
58850,248.67,23.8157,0.00033364,316.123,0.0000160828
58900,248.53,23.6526,0.000331542,316.034,0.0000160753
58950,248.39,23.4906,0.000329456,315.945,0.0000160678
59000,248.25,23.3296,0.000327382,315.856,0.0000160603
59050,248.11,23.1695,0.00032532,315.767,0.0000160529
59100,247.97,23.0105,0.00032327,315.678,0.0000160454
59150,247.83,22.8525,0.000321232,315.589,0.0000160379
59200,247.69,22.6955,0.000319205,315.5,0.0000160304
59250,247.55,22.5395,0.00031719,315.411,0.0000160229
59300,247.41,22.3844,0.000315186,315.322,0.0000160154
59350,247.27,22.2304,0.000313194,315.232,0.0000160079
59400,247.13,22.0773,0.000311214,315.143,0.0000160004
59450,246.99,21.9252,0.000309245,315.054,0.0000159929
59500,246.85,21.774,0.000307287,314.965,0.0000159854
59550,246.71,21.6238,0.00030534,314.875,0.0000159779
59600,246.57,21.4746,0.000303405,314.786,0.0000159704
59650,246.43,21.3263,0.000301481,314.696,0.0000159629
59700,246.29,21.1789,0.000299568,314.607,0.0000159554
59750,246.15,21.0325,0.000297666,314.518,0.0000159479
59800,246.01,20.887,0.000295775,314.428,0.0000159404
59850,245.87,20.7425,0.000293896,314.339,0.0000159329
59900,245.73,20.5988,0.000292027,314.249,0.0000159254
59950,245.59,20.4561,0.000290168,314.16,0.0000159179
60000,245.45,20.3143,0.000288321,314.07,0.0000159104
60050,245.31,20.1733,0.000286484,313.981,0.0000159029
60100,245.17,20.0333,0.000284658,313.891,0.0000158953
60150,245.03,19.8942,0.000282843,313.801,0.0000158878
60200,244.89,19.7559,0.000281038,313.712,0.0000158803
60250,244.75,19.6186,0.000279243,313.622,0.0000158728
60300,244.61,19.4821,0.000277459,313.532,0.0000158652
60350,244.47,19.3465,0.000275686,313.442,0.0000158577
60400,244.33,19.2117,0.000273923,313.353,0.0000158502
60450,244.19,19.0779,0.00027217,313.263,0.0000158426
60500,244.05,18.9448,0.000270427,313.173,0.0000158351
60550,243.91,18.8127,0.000268694,313.083,0.0000158276
60600,243.77,18.6813,0.000266972,312.993,0.00001582
60650,243.63,18.5508,0.00026526,312.904,0.0000158125
60700,243.49,18.4212,0.000263557,312.814,0.0000158049
60750,243.35,18.2924,0.000261865,312.724,0.0000157974
60800,243.21,18.1644,0.000260182,312.634,0.0000157898
60850,243.07,18.0372,0.000258509,312.544,0.0000157823
60900,242.93,17.9109,0.000256847,312.454,0.0000157748
60950,242.79,17.7853,0.000255193,312.364,0.0000157672
61000,242.65,17.6606,0.00025355,312.274,0.0000157596
61050,242.51,17.5367,0.000251916,312.183,0.0000157521
